product_name,description,size
Organic Extra Virgin Olive Oil,Cold-pressed Italian olive oil,500 ml
Artisan Sourdough Bread,Hand-crafted traditional sourdough,1 lb
Aged Manchego Cheese,Spanish sheep milk cheese aged 12 months,8 oz
Wild Alaskan Salmon Fillet,Fresh caught Pacific salmon,1 lb
Free-Range Chicken Breast,Organic pasture-raised chicken,2 lb
Himalayan Pink Salt,Unrefined mineral-rich salt,1 lb
Madagascar Vanilla Extract,Pure vanilla extract from Madagascar beans,4 fl oz
Grass-Fed Beef Ribeye,Premium grass-fed ribeye steak,12 oz
Heirloom Tomatoes,Organic heirloom variety tomatoes,2 lb
Raw Honey,Unprocessed wildflower honey,16 oz
Quinoa Grain,Organic whole grain quinoa,2 lb
Coconut Oil,Virgin coconut oil cold-pressed,16 fl oz
Dark Chocolate 70%,Belgian dark chocolate bar,3.5 oz
Basmati Rice,Premium aged basmati rice,5 lb
Greek Yogurt,Whole milk Greek-style yogurt,32 oz
